category,example_index,sentence
declarative,1,"ANNA KARENINA
by Leo Tolstoy
Translated by Constance Garnett
Contents
PART ONE
PART TWO
PART THREE
PART FOUR
PART FIVE
PART SIX
PART SEVEN
PART EIGHT
PART ONE
Chapter 1
Happy families are all alike; every unhappy family is unhappy in its own way."
declarative,2,Everything was in confusion in the Oblonskys’ house.
declarative,3,"The wife had discovered that the husband was carrying on an intrigue with a French girl, who had been a governess in their family, and she had announced to her husband that she could not go on living in the same house with him."
declarative,4,"This position of affairs had now lasted three days, and not only the husband and wife themselves, but all the members of their family and household, were painfully conscious of it."
declarative,5,"Every person in the house felt that there was no sense in their living together, and that the stray people brought together by chance in any inn had more in common with one another than they, the members of the family and household of the Oblonskys."
declarative,6,"The wife did not leave her own room, the husband had not been at home for three days."
declarative,7,"The children ran wild all over the house; the English governess quarreled with the housekeeper, and wrote to a friend asking her to look out for a new situation for her; the man-cook had walked off the day before just at dinner time; the kitchen-maid, and the coachman had given warning."
declarative,8,"Three days after the quarrel, Prince Stepan Arkadyevitch Oblonsky—Stiva, as he was called in the fashionable world—woke up at his usual hour, that is, at eight o’clock in the morning, not in his wife’s bedroom, but on the leather-covered sofa in his study."
declarative,9,"He turned over his stout, well-cared-for person on the springy sofa, as though he would sink into a long sleep again; he vigorously embraced the pillow on the other side and buried his face in it; but all at once he jumped up, sat up on the sofa, and opened his eyes."
declarative,10,"Alabin was giving a dinner at Darmstadt; no, not Darmstadt, but something American."
declarative,11,"Yes, but then, Darmstadt was in America."
declarative,12,"Stepan Arkadyevitch’s eyes twinkled gaily, and he pondered with a smile."
declarative,13,"And, as he had done every day for the last nine years, he stretched out his hand, without getting up, towards the place where his dressing-gown always hung in his bedroom."
declarative,14,"And thereupon he suddenly remembered that he was not sleeping in his wife’s room, but in his study, and why: the smile vanished from his face, he knitted his brows."
declarative,15,"And again every detail of his quarrel with his wife was present to his imagination, all the hopelessness of his position, and worst of all, his own fault."
declarative,16,"And the most awful thing about it is that it’s all my fault—all my fault, though I’m not to blame."
declarative,17,"Most unpleasant of all was the first minute when, on coming, happy and good-humored, from the theater, with a huge pear in his hand for his wife, he had not found his wife in the drawing-room, to his surprise had not found her in the study either, and saw her at last in her bedroom with the unlucky letter that revealed everything in her hand."
declarative,18,"She, his Dolly, forever fussing and worrying over household details, and limited in her ideas, as he considered, was sitting perfectly still with the letter in her hand, looking at him with an expression of horror, despair, and indignation."
declarative,19,"And at this recollection, Stepan Arkadyevitch, as is so often the case, was not so much annoyed at the fact itself as at the way in which he had met his wife’s words."
declarative,20,There happened to him at that instant what does happen to people when they are unexpectedly caught in something very disgraceful.
declarative,21,He did not succeed in adapting his face to the position in which he was placed towards his wife by the discovery of his fault.
declarative,22,"Instead of being hurt, denying, defending himself, begging forgiveness, instead of remaining indifferent even—anything would have been better than what he did do—his face utterly involuntarily (reflex spinal action, reflected Stepan Arkadyevitch, who was fond of physiology)—utterly involuntarily assumed its habitual, good-humored, and therefore idiotic smile."
declarative,23,This idiotic smile he could not forgive himself.
declarative,24,"Catching sight of that smile, Dolly shuddered as though at physical pain, broke out with her characteristic heat into a flood of cruel words, and rushed out of the room."
declarative,25,Since then she had refused to see her husband.
declarative,26,"Chapter 2
Stepan Arkadyevitch was a truthful man in his relations with himself."
declarative,27,He was incapable of deceiving himself and persuading himself that he repented of his conduct.
declarative,28,"He could not at this date repent of the fact that he, a handsome, susceptible man of thirty-four, was not in love with his wife, the mother of five living and two dead children, and only a year younger than himself."
declarative,29,All he repented of was that he had not succeeded better in hiding it from his wife.
declarative,30,"But he felt all the difficulty of his position and was sorry for his wife, his children, and himself."
declarative,31,Possibly he might have managed to conceal his sins better from his wife if he had anticipated that the knowledge of them would have had such an effect on her.
declarative,32,"He had never clearly thought out the subject, but he had vaguely conceived that his wife must long ago have suspected him of being unfaithful to her, and shut her eyes to the fact."
declarative,33,"He had even supposed that she, a worn-out woman no longer young or good-looking, and in no way remarkable or interesting, merely a good mother, ought from a sense of fairness to take an indulgent view."
declarative,34,It had turned out quite the other way.
declarative,35,She was contented and happy in her children; I never interfered with her in anything; I let her manage the children and the house just as she liked.
declarative,36,It’s true it’s bad her having been a governess in our house.
declarative,37,"There’s something common, vulgar, in flirting with one’s governess."
declarative,38,Roland and her smile.)
declarative,39,"That answer is: one must live in the needs of the day—that is, forget oneself."
declarative,40,"To forget himself in sleep was impossible now, at least till nighttime; he could not go back now to the music sung by the decanter-women; so he must forget himself in the dream of daily life."
declarative,41,He pulled up the blind and rang the bell loudly.
declarative,42,"It was at once answered by the appearance of an old friend, his valet, Matvey, carrying his clothes, his boots, and a telegram."
declarative,43,Matvey was followed by the barber with all the necessaries for shaving.
declarative,44,"In the glance, in which their eyes met in the looking-glass, it was clear that they understood one another."
declarative,45,He had obviously prepared the sentence beforehand.
declarative,46,Stepan Arkadyevitch saw Matvey wanted to make a joke and attract attention to himself.
declarative,47,"Tearing open the telegram, he read it through, guessing at the words, misspelt as they always are in telegrams, and his face brightened."
declarative,48,"Stepan Arkadyevitch could not answer, as the barber was at work on his upper lip, and he raised one finger."
declarative,49,Matvey nodded at the looking-glass.
declarative,50,The barber had gone.
declarative,51,Stepan Arkadyevitch was silent a minute.
declarative,52,Then a good-humored and rather pitiful smile showed itself on his handsome face.
declarative,53,"Although Stepan Arkadyevitch was completely in the wrong as regards his wife, and was conscious of this himself, almost everyone in the house (even the nurse, Darya Alexandrovna’s chief ally) was on his side."
declarative,54,Maybe God will aid you.
declarative,55,"She is suffering so, it’s sad to see her; and besides, everything in the house is topsy-turvy."
declarative,56,"You must have pity, sir, on the children."
declarative,57,"Beg her forgiveness, sir."
declarative,58,"Matvey was already holding up the shirt like a horse’s collar, and, blowing off some invisible speck, he slipped it with obvious pleasure over the well-groomed body of his master."
