category,example_index,sentence
declarative,1,"With these words she greeted Prince Vasíli Kurágin, a man of high rank and importance, who was the first to arrive at her reception."
declarative,2,Anna Pávlovna had had a cough for some days.
declarative,3,"She was, as she said, suffering from la grippe; grippe being then a new word in St. Petersburg, used only by the elite."
declarative,4,"He had just entered, wearing an embroidered court uniform, knee breeches, and shoes, and had stars on his breast and a serene expression on his flat face."
declarative,5,"He spoke in that refined French in which our grandfathers not only spoke but thought, and with the gentle, patronizing intonation natural to a man of importance who had grown old in society and at court."
declarative,6,"He went up to Anna Pávlovna, kissed her hand, presenting to her his bald, scented, and shining head, and complacently seated himself on the sofa."
declarative,7,Today is Wednesday.
declarative,8,"Anna Pávlovna Schérer on the contrary, despite her forty years, overflowed with animation and impulsiveness."
declarative,9,"To be an enthusiast had become her social vocation and, sometimes even when she did not feel like it, she became enthusiastic in order not to disappoint the expectations of those who knew her."
declarative,10,"The subdued smile which, though it did not suit her faded features, always played round her lips expressed, as in a spoiled child, a continual consciousness of her charming defect, which she neither wished, nor could, nor considered it necessary, to correct."
declarative,11,"Perhaps I don’t understand things, but Austria never has wished, and does not wish, for war."
declarative,12,Russia alone must save Europe.
declarative,13,Our gracious sovereign recognizes his high vocation and will be true to it.
declarative,14,"Our good and wonderful sovereign has to perform the noblest role on earth, and he is so virtuous and noble that God will not forsake him."
declarative,15,We alone must avenge the blood of the just one....
declarative,16,"Whom, I ask you, can we rely on?..."
declarative,17,England with her commercial spirit will not and cannot understand the Emperor Alexander’s loftiness of soul.
declarative,18,She has refused to evacuate Malta.
declarative,19,"She wanted to find, and still seeks, some secret motive in our actions."
declarative,20,None.
declarative,21,"The English have not understood and cannot understand the self-abnegation of our Emperor who wants nothing for himself, but only desires the good of mankind."
declarative,22,"Prussia has always declared that Buonaparte is invincible, and that all Europe is powerless before him.... And I don’t believe a word that Hardenburg says, or Haugwitz either."
declarative,23,This famous Prussian neutrality is just a trap.
declarative,24,I have faith only in God and the lofty destiny of our adored monarch.
declarative,25,You are so eloquent.
